place_id,place_name,category,city,lat,long
1,Monumen Nasional,Budaya,Jakarta,-6.1753924,106.8271528
2,Kota Tua,Budaya,Jakarta,-6.1376448,106.8171245
3,Dunia Fantasi,Taman Hiburan,Jakarta,-6.1253124,106.8335377
4,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,-6.3024459,106.8951559
5,Atlantis Water Adventure,Taman Hiburan,Jakarta,-6.12419,106.839134
6,Taman Impian Jaya Ancol,Taman Hiburan,Jakarta,-6.1173332,106.8579951
7,Kebun Binatang Ragunan,Cagar Alam,Jakarta,-6.3124593,106.8201865
8,Ocean Ecopark,Taman Hiburan,Jakarta,-6.1258017,106.8363249
9,Pelabuhan Marina,Bahari,Jakarta,1.07888,103.931398
10,Pulau Tidung,Bahari,Jakarta,-5.8032053,106.5237907
11,Pulau Bidadari,Bahari,Jakarta,-6.035833,106.746944
12,Pulau Pari,Bahari,Jakarta,-5.9074328,106.5863989
13,Pulau Pramuka,Bahari,Jakarta,-5.745962,106.6136577
14,Pulau Pelangi,Bahari,Jakarta,-5.587055,106.5885
15,Pasar Seni,Pusat Perbelanjaan,Jakarta,-6.1766868,106.8417666
16,Jembatan Kota Intan,Budaya,Jakarta,-6.1314572,106.8106169
17,Museum Fatahillah,Budaya,Jakarta,-6.1364489,106.8130661
18,Museum Bank Indonesia,Budaya,Jakarta,-6.137127,106.813005
19,Kidzania,Taman Hiburan,Jakarta,-6.2250735,106.8097144
20,Museum Taman Prasasti,Budaya,Jakarta,-6.1722241,106.8189695
21,Museum Wayang,Budaya,Jakarta,-6.1349072,106.8124452
22,Masjid Istiqlal,Tempat Ibadah,Jakarta,-6.17017,106.83139
23,Gereja Katedral,Tempat Ibadah,Jakarta,-6.169225,106.833063
24,Museum Nasional,Budaya,Jakarta,-6.1764021,106.8215901
25,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,-6.1890096,106.8119312
26,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,-6.1427588,106.8140791
27,Sea World,Taman Hiburan,Jakarta,-6.1264775,106.842963
28,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,-6.3568093,106.9062371
29,Wisata Kuliner Pecenongan,Pusat Perbelanjaan,Jakarta,-6.1667887,106.8265261
30,Taman Menteng,Taman Hiburan,Jakarta,-6.1964087,106.8293106
31,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,-6.105334,106.735584
32,Setu Babakan,Budaya,Jakarta,-6.3416667,106.8238889
33,Taman Suropati,Taman Hiburan,Jakarta,-6.1994034,106.8326228
34,Pasar Taman Puring,Pusat Perbelanjaan,Jakarta,-6.241369,106.7890587
35,Grand Indonesia Mall,Pusat Perbelanjaan,Jakarta,-6.1951801,106.8204412
36,Skyrink - Mall Taman Anggrek,Taman Hiburan,Jakarta,-6.178996,106.791941
37,Bumi Perkemahan Cibubur,Taman Hiburan,Jakarta,-6.3602487,106.893842
38,Istana Negara Republik Indonesia,Budaya,Jakarta,-6.168069,106.8239727
39,Museum Macan (Modern and Contemporary Art in Nusantara),Budaya,Jakarta,-6.190942,106.767622
40,Galeri Nasional Indonesia,Budaya,Jakarta,-6.1785482,106.8327716
41,Museum Bahari Jakarta,Budaya,Jakarta,-6.1269553,106.8085899
42,Museum Seni Rupa dan Kramik,Budaya,Jakarta,-6.1342598,106.814552
43,The Escape Hunt,Taman Hiburan,Jakarta,-6.2555033,106.8122591
44,Monumen Selamat Datang,Budaya,Jakarta,-6.1949978,106.8230496
45,Jakarta Aquarium dan Safari,Taman Hiburan,Jakarta,-6.1752647,106.7904684
46,Pulau Semak Daun,Bahari,Jakarta,-5.7296716,106.5714158
47,Taman Situ Lembang,Taman Hiburan,Jakarta,-6.1978861,106.8346708
48,Taman Ismail Marzuki,Budaya,Jakarta,-6.1891586,106.8397738
49,Galeri Indonesia Kaya,Budaya,Jakarta,-6.1948499,106.8200607
50,Museum Joang 45,Budaya,Jakarta,-6.1861838,106.8364761
51,Jakarta Planetarium,Taman Hiburan,Jakarta,-6.1900819,106.8388532
52,Kampung Cina,Budaya,Jakarta,-6.3651357,106.7617984
53,Rumah Sipitung,Budaya,Jakarta,-6.10016,106.96057
54,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,-6.3401514,106.9012561
55,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,-6.1444737,106.8126018
56,Pantai Ancol,Bahari,Jakarta,-6.1194215,106.8502435
57,Taman Lapangan Banteng,Taman Hiburan,Jakarta,-6.170555,106.8350378
58,Taman Ayodya,Taman Hiburan,Jakarta,-6.2452294,106.7946655
59,Museum Sumpah Pemuda,Budaya,Jakarta,-6.1838388,106.8430507
60,Museum Tekstil,Budaya,Jakarta,-6.1879634,106.8096081
61,Tugu Proklamasi,Budaya,Jakarta,-6.2030468,106.8466623
62,Taman Legenda Keong Emas,Taman Hiburan,Jakarta,-6.3039042,106.8936219
63,Museum Kebangkitan Nasional,Budaya,Jakarta,-6.178352,106.838094
64,Museum Sasmita Loka Ahmad Yani,Budaya,Jakarta,-6.2046303,106.8365324
65,Museum Basoeki Abdullah,Budaya,Jakarta,-6.2897885,106.7932681
66,Museum Layang-layang,Budaya,Jakarta,-6.3080282,106.790548
